display_order,top_level_label,subcategory_id,subcategory_label,function_id,function_label,definition,pilot_core_recommended,cefr_function_level_min_provisional,cefr_function_level_core_provisional,positive_examples,near_miss_examples,common_confusions,decision_rule,do_not_use_when,example_notes,calibration_priority,manual_review_amendment_status,manual_review_evidence_count,manual_review_error_patterns
48,"Explanation, reasoning and argumentation",3.1,Explaining,EXP_10,exemplifying,Gives an example.,yes,A2,B1,"Several terrains were tested, including grass fields, rocky paths and varying inclines. || The plan covers a range of services, for example support calls, representation and training.","The team implemented their system and tested its abilities in several complex terrains, including grass fields, rocky paths and varying inclines.",reporting_past_events; specifying_details; describing_characteristics; relaying_specific_information,"Use as primary only when the sentence’s main communicative purpose is to provide examples that illustrate a category, point, claim, or explanation.","Do not use as primary merely because the sentence contains “including”, examples, lists, or parenthetical details. If the sentence mainly reports an event, describes features, or specifies details, use that primary function and treat exemplification as secondary if needed.",Manual review showed “including” can trigger over-tagging. Examples inside an event report or feature list are usually secondary.,high,amended_from_manual_diagnostic_batches_v1,2+,exemplification_marker_trap; discourse_promoted_to_primary
49,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_01,making_claims,Makes a claim or assertion.,yes,B1,B2,The article argues that stronger regulation is needed. || The author claims that the policy will improve access.,It may be your secret weapon. || I do not think those problems caused the assault on schools’ ability to educate.,evaluating_quality; expressing_opinion; quoting_or_attributing; stating_facts,"Use when the sentence advances a claim in an argument, rather than merely expressing personal opinion, promotional evaluation, or attribution.","Do not use for promotional/evaluative wording where the main communicative force is quality evaluation, or for first-person opinion if expressing_opinion is more precise.",Manual review found making_claims could be too broad for promotional/evaluative sentences.,medium,amended_from_manual_diagnostic_batches_v1,1+,claim_vs_evaluation
50,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_02,supporting_claims,Gives support for a claim.,yes,B1,B2,This sentence gives support for a claim. || The text clearly gives support for a claim.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Gives support for a claim.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
51,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_03,justifying_opinion,Gives justification for an opinion.,yes,B1,B2,This sentence gives justification for an opinion. || The text clearly gives justification for an opinion.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Gives justification for an opinion.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
52,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_04,developing_argument,Develops a line of argument.,yes,B2,B2,This sentence develops a line of argument. || The text clearly develops a line of argument.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Develops a line of argument.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
53,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_05,contrasting_ideas,"Contrasts two ideas, positions or facts.",yes,B1,B2,"The United States is not hobbled by foreign competition, but rather by domestic regulations. || Despite a modest box office showing, the film enchanted critics and viewers.","The district’s failure to repurpose these properties has created distrust. || This limits its ability to flag risks early. || The team implemented its system and tested it on several terrains, including grass fields and rocky paths.",explaining_causes; explaining_consequences; reporting_past_events; reporting_statistics; exemplifying; expressing_contrast,"Use as primary only when the sentence’s main communicative purpose is to contrast two ideas, positions, facts, explanations, or outcomes.","Do not use as primary merely because the sentence contains “but”, “however”, “despite”, “not...but rather”, or another contrast marker. If the sentence mainly explains a cause, reports an event, evaluates quality, or describes features, use that primary function and make contrast secondary if needed.",Manual review showed discourse relations were often promoted to primary. Contrast is primary only when the contrast itself is the communicative point.,high,amended_from_manual_diagnostic_batches_v1,5+,discourse_promoted_to_primary; contrast_marker_trap
54,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_06,conceding_points,Acknowledges a counterpoint or limitation.,no,B2,B2,This sentence acknowledges a counterpoint or limitation. || The text clearly acknowledges a counterpoint or limitation.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Acknowledges a counterpoint or limitation.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
55,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_07,counterarguing,Argues against another position.,no,B2,B2,This sentence argues against another position. || The text clearly argues against another position.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Argues against another position.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
56,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_08,drawing_conclusions,Draws a conclusion from information.,yes,B1,B2,This sentence draws a conclusion from information. || The text clearly draws a conclusion from information.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Draws a conclusion from information.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
57,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_09,hypothesising,Presents a hypothetical situation.,no,B1,B2,This sentence presents a hypothetical situation. || The text clearly presents a hypothetical situation.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Presents a hypothetical situation.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
58,"Explanation, reasoning and argumentation",3.2,Arguing and justifying,ARG_10,weighing_options,Compares possible choices or courses of action.,no,B2,B2,This sentence compares possible choices or courses of action. || The text clearly compares possible choices or courses of action.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Compares possible choices or courses of action.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
59,"Opinion, attitude and evaluation",4.1,Expressing views,EVA_01,expressing_opinion,Gives an opinion.,yes,A2,B1,I do not think those problems led to the assault on schools’ ability to educate students. || I have not read about them being a problem despite reading widely on the topic.,He said the policy would change. || Doctors told him his symptoms would get worse.,quoting_or_attributing; stating_facts; making_claims; explaining_reasons,"Use when the speaker/writer states a personal opinion, belief, stance, judgement, or view.","Do not use for attributed claims where another source is the focus. Conversely, do not use quoting_or_attributing for first-person stance unless the sentence is explicitly reporting someone else’s words.",Manual review showed first-person stance was sometimes misread as attribution.,medium,amended_from_manual_diagnostic_batches_v1,3+,first_person_opinion_trap; attribution_overreach
60,"Opinion, attitude and evaluation",4.1,Expressing views,EVA_02,expressing_preference,Says what someone prefers.,no,A2,B1,"I preference that this is the best option for now. || Personally, I feel preference about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Says what someone prefers.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
61,"Opinion, attitude and evaluation",4.1,Expressing views,EVA_03,expressing_agreement,Agrees with someone or something.,no,A2,B1,"I agreement that this is the best option for now. || Personally, I feel agreement about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Agrees with someone or something.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
62,"Opinion, attitude and evaluation",4.1,Expressing views,EVA_04,expressing_disagreement,Disagrees with someone or something.,no,A2,B1,"I disagreement that this is the best option for now. || Personally, I feel disagreement about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Disagrees with someone or something.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
63,"Opinion, attitude and evaluation",4.1,Expressing views,EVA_05,expressing_doubt,Shows uncertainty or doubt.,no,A2,B1,"I doubt that this is the best option for now. || Personally, I feel doubt about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Shows uncertainty or doubt.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
64,"Opinion, attitude and evaluation",4.1,Expressing views,EVA_06,expressing_certainty,Shows certainty.,no,A2,B1,"I certainty that this is the best option for now. || Personally, I feel certainty about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Shows certainty.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
65,"Opinion, attitude and evaluation",4.1,Expressing views,EVA_07,expressing_belief,States belief or assumption.,no,A2,B1,"I belief that this is the best option for now. || Personally, I feel belief about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,Use when the sentence as a whole communicatively performs this function: States belief or assumption.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
66,"Opinion, attitude and evaluation",4.1,Expressing views,EVA_08,expressing_intention,States intention or plan.,no,A2,B1,"I intention that this is the best option for now. || Personally, I feel intention about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,Use when the sentence as a whole communicatively performs this function: States intention or plan.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
67,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_09,evaluating_quality,"Judges quality, value or usefulness.",yes,A2,B1,A very underrated part of his game is his scrambling ability. || His reading of the game and ability to spot an opening is impressive. || It is the hallmark of Waits’ incredible songwriting ability. || It may be your secret weapon.,The Pro plan includes 240 channels and unlimited cloud DVR space. || He knows the ability of players in the league. || Doctors told him his symptoms would get worse.,stating_facts; describing_characteristics; reporting_past_events; evaluating_importance; making_claims,"Use when the sentence explicitly evaluates quality, merit, effectiveness, excellence, weakness, impressiveness, or value of a person, object, ability, text, product, performance, or action.",Do not use for neutral feature description without evaluative language. Do not use merely because something sounds positive or important unless the sentence explicitly evaluates quality.,"Manual review found repeated missed evaluation. Triggers include “underrated”, “incredible”, “impressive”, “unsettling brilliance”, “secret weapon”, “even more impressive”.",high,amended_from_manual_diagnostic_batches_v1,8+,evaluation_missed; description_vs_evaluation
68,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_10,evaluating_importance,Says how important something is.,yes,A2,B1,"It is an important part, but as an employer I am looking beyond ability to do the task. || The support and friendships she developed were crucial to her success. || Beyond the number, what matters more importantly is the effect on access.","Choosing to kill himself, the host ended the Spider Wars. || Eventually, he gives up his ability to become pharaoh. || In 2019, fire crews were called to tackle a suspected arson attack.",narrating_events; reporting_past_events; evaluating_quality; stating_facts; explaining_consequences,"Use only when the sentence explicitly evaluates importance, significance, relevance, priority, seriousness, centrality, or impact.","Do not use merely because the sentence describes an important, dramatic, emotional, violent, consequential, historical, or central event. Consequential plot or news events are not automatically evaluations of importance.","Manual review confirmed the need to distinguish explicit importance language from merely important content. Look for “important”, “crucial”, “more importantly”, “significant”, or equivalent evaluation.",high,amended_from_manual_diagnostic_batches_v1,5+,evaluation_overreach; importance_missed
69,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_11,evaluating_success,Judges success or failure.,no,A2,B1,This plan is highly success for the success of the project. || The report assesses the success of the proposed solution.,The sentence describes a situation without judging it. || The sentence reports an event but gives no assessment.,expressing_opinion; analysing_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Judges success or failure.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
70,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_12,evaluating_risk,"Evaluates danger, risk or uncertainty.",yes,A2,B1,This plan is highly risk for the success of the project. || The report assesses the risk of the proposed solution.,The sentence describes a situation without judging it. || The sentence reports an event but gives no assessment.,expressing_opinion; analysing_information; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Evaluates danger, risk or uncertainty.",Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
71,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_13,evaluating_evidence,Assesses evidence or support.,yes,B2,B2,This plan is highly evidence for the success of the project. || The report assesses the evidence of the proposed solution.,The sentence describes a situation without judging it. || The sentence reports an event but gives no assessment.,expressing_opinion; analysing_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Assesses evidence or support.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
72,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_14,evaluating_arguments,Assesses an argument or position.,no,B2,B2,This plan is highly arguments for the success of the project. || The report assesses the arguments of the proposed solution.,The sentence describes a situation without judging it. || The sentence reports an event but gives no assessment.,expressing_opinion; analysing_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Assesses an argument or position.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
73,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_15,expressing_criticism,Criticises someone or something.,no,A2,B1,"I criticism that this is the best option for now. || Personally, I feel criticism about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Criticises someone or something.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
74,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_16,expressing_praise,Praises someone or something.,no,A2,B1,"I praise that this is the best option for now. || Personally, I feel praise about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Praises someone or something.,Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
75,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_17,expressing_personal_response,"Gives a personal reaction to a text, event or experience.",no,A2,B1,"I personal response that this is the best option for now. || Personally, I feel personal response about the proposal.",The sentence reports someone else's feeling without expressing it directly. || The sentence describes an emotional event but gives no stance.,evaluating_quality; expressing_personal_response; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Gives a personal reaction to a text, event or experience.",Do not use merely because the topic is emotional or value-laden; the sentence must actually express stance or evaluation.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
76,"Opinion, attitude and evaluation",4.2,Evaluating,EVA_18,literary_or_cultural_interpretation,"Interprets creative, literary or cultural material.",no,B2,C1,"This sentence interprets creative, literary or cultural material. || The text clearly interprets creative, literary or cultural material.",The sentence reports a real news event rather than responding to a creative text. || The sentence mentions a film title but does not discuss the film.,stating_facts; relaying_specific_information; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Interprets creative, literary or cultural material.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
77,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_01,giving_instructions,Tells someone how to do something.,yes,A1,A2,The notice gives instructions for visitors. || The webpage provides clear instructions about the service.,The sentence asks for information rather than giving it. || The sentence evaluates information rather than providing it.,giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Tells someone how to do something.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
78,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_02,following_or_referring_to_instructions,"Refers to instructions, rules or steps.",no,A1,A2,Please complete the form before Friday. || You should check the instructions before you start.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,"Use when the sentence as a whole communicatively performs this function: Refers to instructions, rules or steps.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
79,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_03,giving_directions,Gives route or location directions.,no,A1,A2,The notice gives directions for visitors. || The webpage provides clear directions about the service.,The sentence asks for information rather than giving it. || The sentence evaluates information rather than providing it.,giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Gives route or location directions.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
80,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_04,explaining_procedure,Explains a procedure or sequence of actions.,no,A1,A2,The guide explains the procedure behind the change. || This happens because several conditions affect the process.,The sentence reports what happened but does not explain why or how. || The sentence contains 'because' as a detail but the main purpose is event reporting.,reporting_past_events; describing_processes; expressing_cause_effect,Use when the sentence as a whole communicatively performs this function: Explains a procedure or sequence of actions.,"Do not use just because the sentence contains because, so, as, to or a result phrase if the main function is reporting or narrating events.",Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
81,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_05,warning,"Warns about danger, risk or consequences.",no,A2,B1,Please complete the form before Friday. || You should check the instructions before you start.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,"Use when the sentence as a whole communicatively performs this function: Warns about danger, risk or consequences.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
82,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_06,prohibiting,Says something is not allowed.,no,A2,B1,Please complete the form before Friday. || You should check the instructions before you start.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Says something is not allowed.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
83,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_07,permitting,Says something is allowed.,no,A2,B1,Please complete the form before Friday. || You should check the instructions before you start.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Says something is allowed.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
84,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_08,obligating,Says something must be done.,no,A2,B1,Please complete the form before Friday. || You should check the instructions before you start.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Says something must be done.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
85,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_09,recommending_action,Recommends what someone should do.,yes,A2,B1,You should save your work before closing the programme. || The guide recommends restarting the device after installation.,You replenish your ability to use these powers with syringes. || Your body improves its ability to get energy from carbohydrates.,describing_characteristics; explaining_processes; explaining_consequences; stating_facts,"Use when the sentence recommends, advises, or tells someone what action they should take.","Do not use merely because the sentence uses “you”. Descriptive statements about what a system, body, or game mechanic does are not recommendations unless they tell the reader to act.",Manual review showed second-person descriptions can be misread as advice.,medium,amended_from_manual_diagnostic_batches_v1,1+,second_person_trap; recommendation_overreach
86,"Directives, instructions and transactions",5.1,Instructions and procedures,DIR_10,advising,Gives advice.,no,A2,B1,Please complete the form before Friday. || You should check the instructions before you start.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Gives advice.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
87,"Directives, instructions and transactions",5.2,"Requests, offers and suggestions",DIR_11,requesting_action,Asks someone to do something.,yes,A1,A2,Could you tell me more about the meeting schedule? || Can you confirm whether the office is open tomorrow?,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Asks someone to do something.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
88,"Directives, instructions and transactions",5.2,"Requests, offers and suggestions",DIR_12,requesting_permission,Asks for permission.,no,A1,A2,Could you tell me more about the meeting schedule? || Can you confirm whether the office is open tomorrow?,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Asks for permission.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
89,"Directives, instructions and transactions",5.2,"Requests, offers and suggestions",DIR_13,offering_help,Offers assistance.,no,A1,A2,Please complete the form before Friday. || You should check the instructions before you start.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Offers assistance.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
90,"Directives, instructions and transactions",5.2,"Requests, offers and suggestions",DIR_14,offering_goods_or_services,Offers goods or services.,no,A1,A2,Please complete the form before Friday. || You should check the instructions before you start.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Offers goods or services.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
91,"Directives, instructions and transactions",5.2,"Requests, offers and suggestions",DIR_15,suggesting,Suggests an idea or action.,yes,A1,A2,Please complete the form before Friday. || You should check the instructions before you start.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",giving_practical_information; advising; recommending_action,Use when the sentence as a whole communicatively performs this function: Suggests an idea or action.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
